Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,129.08221435546875,129.4168243408203,127.96366882324219,128.67112731933594,116.8432388305664,3926684
2021-04-13,127.15105438232422,127.74378967285156,124.64627075195312,125.41108703613281,113.88286590576172,8403041
2021-04-14,125.53536987304688,126.94072723388672,124.78011322021484,126.79732513427734,115.14167785644531,6137928
2021-04-15,127.41873931884766,127.98279571533203,126.40535736083984,126.74951934814453,115.09825897216797,4062664
2021-04-16,127.15105438232422,128.2026824951172,127.1032485961914,127.71510314941406,115.97509765625,5535223
2021-04-19,127.72466278076172,127.93498992919922,126.74951934814453,127.26577758789062,115.56707000732422,8575736
2021-04-20,131.0420684814453,133.62332153320312,130.68833923339844,132.08413696289062,119.9425048828125,16192708
2021-04-21,131.988525390625,137.4091796875,131.65391540527344,137.23709106445312,124.62178039550781,12456814
2021-04-22,137.3804931640625,138.374755859375,134.7992401123047,135.06692504882812,122.65110778808594,7428064
2021-04-23,135.09559631347656,137.29444885253906,134.75143432617188,136.16635131835938,123.64945220947266,4765576
2021-04-26,136.1567840576172,137.31358337402344,135.2581329345703,135.3441619873047,122.9028549194336,4927497
2021-04-27,135.45889282226562,136.29063415527344,134.5602264404297,135.7648162841797,123.28482818603516,4062664
2021-04-28,136.63479614257812,137.09368896484375,135.85086059570312,136.71128845214844,124.14431762695312,3941433
2021-04-29,137.7915802001953,142.1988525390625,136.69215393066406,137.89674377441406,125.22077941894531,4554179
2021-04-30,137.3804931640625,137.50477600097656,134.3690185546875,135.64053344726562,123.1719741821289,9280321
2021-05-03,137.48565673828125,139.34034729003906,137.23709106445312,138.3843231201172,125.6635513305664,5997241
2021-05-04,138.0592803955078,140.14340209960938,137.9827880859375,139.34034729003906,126.53169250488281,6642623
2021-05-05,139.52198791503906,139.52198791503906,138.5946502685547,138.83364868164062,126.07157135009766,5229895
2021-05-06,138.87188720703125,141.97897338867188,138.79541015625,141.89292907714844,128.8496551513672,7848661
2021-05-07,139.50286865234375,139.71319580078125,138.2122344970703,139.06309509277344,127.69087982177734,7325661
2021-05-10,139.3881378173828,141.8546905517578,139.3881378173828,139.7418670654297,128.31411743164062,7304636
2021-05-11,138.61376953125,138.8049774169922,136.6156768798828,137.87762451171875,126.60237121582031,7454214
2021-05-12,137.51434326171875,137.81069946289062,134.93307495117188,135.08604431152344,124.03907775878906,6233742
2021-05-13,135.2294464111328,138.52772521972656,135.06692504882812,137.829833984375,126.5584945678711,4807207
2021-05-14,138.72848510742188,139.28298950195312,137.62905883789062,138.31739807128906,127.00617980957031,2873780
2021-05-17,138.08795166015625,139.3881378173828,137.9827880859375,138.72848510742188,127.38365173339844,4471755
2021-05-18,138.41299438476562,138.91014099121094,136.93116760253906,137.58126831054688,126.33023071289062,4000009
2021-05-19,136.06118774414062,136.90248107910156,134.72274780273438,136.89292907714844,125.69819641113281,4498532
2021-05-20,136.8260040283203,138.53729248046875,135.90821838378906,137.55258178710938,126.30390167236328,4301675
2021-05-21,137.93499755859375,139.29254150390625,137.93499755859375,138.374755859375,127.05882263183594,4219041
2021-05-24,138.68069458007812,138.9961700439453,137.83938598632812,138.3556365966797,127.04126739501953,3449290
2021-05-25,138.54684448242188,138.62332153320312,136.90248107910156,137.46653747558594,126.22486877441406,4118311
2021-05-26,137.18930053710938,137.65774536132812,136.74952697753906,137.07456970214844,125.8649673461914,3225655
2021-05-27,137.49522399902344,138.4034423828125,137.31358337402344,137.49522399902344,126.25123596191406,5889294
2021-05-28,137.86807250976562,137.9827880859375,137.1797332763672,137.41873168945312,126.18098449707031,2651192
2021-06-01,138.62332153320312,139.4168243408203,137.4282989501953,137.8489532470703,126.57601165771484,2528705
2021-06-02,138.26004028320312,139.34034729003906,137.7724609375,139.31166076660156,127.91912078857422,2915097
2021-06-03,138.53729248046875,139.46463012695312,137.70555114746094,139.14913940429688,127.76988220214844,4320608
2021-06-04,139.579345703125,141.06118774414062,139.3498992919922,140.93690490722656,129.41146850585938,3261323
2021-06-07,141.06118774414062,142.1988525390625,140.69789123535156,141.51051330566406,129.9381561279297,3621984
2021-06-08,141.6061248779297,143.5946502685547,141.6061248779297,142.51434326171875,130.85989379882812,5313785
2021-06-09,142.47610473632812,144.4263916015625,142.27532958984375,144.04397583007812,132.2644500732422,5547252
2021-06-10,144.8087921142578,146.11854553222656,143.1739959716797,143.91969299316406,132.1503143310547,4977391
2021-06-11,143.8145294189453,145.17208862304688,143.75717163085938,144.6271514892578,132.79991149902344,3596462
2021-06-14,144.08221435546875,144.3881378173828,142.12237548828125,143.43212890625,131.70265197753906,3498661
2021-06-15,143.26004028320312,143.31739807128906,142.06500244140625,142.7915802001953,131.1144561767578,2628912
2021-06-16,143.1739959716797,143.1739959716797,140.74569702148438,141.32887268066406,129.7713623046875,4057329
2021-06-17,141.06118774414062,141.5487518310547,138.89100646972656,139.1969451904297,127.81376647949219,4568300
2021-06-18,138.12619018554688,138.31739807128906,136.74952697753906,136.8260040283203,125.63672637939453,9577699
2021-06-21,137.7724609375,140.602294921875,137.72467041015625,140.2007598876953,128.7355194091797,4482633
